name,sku,size,pack_size,quantity,price_per_unit
Single Wall Coffee Cups,BR-SWC,4oz,1000,1000,0.187
Single Wall Coffee Cups,BR-SWC,4oz,1000,2000,0.127
Single Wall Coffee Cups,BR-SWC,4oz,1000,3000,0.102
Single Wall Coffee Cups,BR-SWC,4oz,1000,4000,0.096
Single Wall Coffee Cups,BR-SWC,4oz,1000,5000,0.093
Single Wall Coffee Cups,BR-SWC,4oz,1000,6000,0.087
Single Wall Coffee Cups,BR-SWC,4oz,1000,7000,0.085
Single Wall Coffee Cups,BR-SWC,4oz,1000,8000,0.085
Single Wall Coffee Cups,BR-SWC,4oz,1000,9000,0.083
Single Wall Coffee Cups,BR-SWC,4oz,1000,10000,0.082
Single Wall Coffee Cups,BR-SWC,4oz,1000,15000,0.071
Single Wall Coffee Cups,BR-SWC,4oz,1000,20000,0.065
Single Wall Coffee Cups,BR-SWC,4oz,1000,25000,0.062
Single Wall Coffee Cups,BR-SWC,4oz,1000,30000,0.057
Single Wall Coffee Cups,BR-SWC,6oz,1000,1000,0.193
Single Wall Coffee Cups,BR-SWC,6oz,1000,2000,0.132
Single Wall Coffee Cups,BR-SWC,6oz,1000,3000,0.108
Single Wall Coffee Cups,BR-SWC,6oz,1000,4000,0.101
Single Wall Coffee Cups,BR-SWC,6oz,1000,5000,0.091
Single Wall Coffee Cups,BR-SWC,6oz,1000,6000,0.089
Single Wall Coffee Cups,BR-SWC,6oz,1000,7000,0.088
Single Wall Coffee Cups,BR-SWC,6oz,1000,8000,0.088
Single Wall Coffee Cups,BR-SWC,6oz,1000,9000,0.088
Single Wall Coffee Cups,BR-SWC,6oz,1000,10000,0.088
Single Wall Coffee Cups,BR-SWC,6oz,1000,15000,0.078
Single Wall Coffee Cups,BR-SWC,6oz,1000,20000,0.075
Single Wall Coffee Cups,BR-SWC,6oz,1000,25000,0.066
Single Wall Coffee Cups,BR-SWC,6oz,1000,30000,0.064
Single Wall Coffee Cups,BR-SWC,8oz,1000,1000,0.214
Single Wall Coffee Cups,BR-SWC,8oz,1000,2000,0.175
Single Wall Coffee Cups,BR-SWC,8oz,1000,3000,0.154
Single Wall Coffee Cups,BR-SWC,8oz,1000,4000,0.15
Single Wall Coffee Cups,BR-SWC,8oz,1000,5000,0.14
Single Wall Coffee Cups,BR-SWC,8oz,1000,6000,0.138
Single Wall Coffee Cups,BR-SWC,8oz,1000,7000,0.135
Single Wall Coffee Cups,BR-SWC,8oz,1000,8000,0.132
Single Wall Coffee Cups,BR-SWC,8oz,1000,9000,0.129
Single Wall Coffee Cups,BR-SWC,8oz,1000,10000,0.125
Single Wall Coffee Cups,BR-SWC,8oz,1000,15000,0.12
Single Wall Coffee Cups,BR-SWC,8oz,1000,20000,0.114
Single Wall Coffee Cups,BR-SWC,8oz,1000,25000,0.092
Single Wall Coffee Cups,BR-SWC,8oz,1000,30000,0.09
Single Wall Coffee Cups,BR-SWC,12oz,1000,1000,0.22
Single Wall Coffee Cups,BR-SWC,12oz,1000,2000,0.181
Single Wall Coffee Cups,BR-SWC,12oz,1000,3000,0.16
Single Wall Coffee Cups,BR-SWC,12oz,1000,4000,0.156
Single Wall Coffee Cups,BR-SWC,12oz,1000,5000,0.146
Single Wall Coffee Cups,BR-SWC,12oz,1000,6000,0.144
Single Wall Coffee Cups,BR-SWC,12oz,1000,7000,0.141
Single Wall Coffee Cups,BR-SWC,12oz,1000,8000,0.138
Single Wall Coffee Cups,BR-SWC,12oz,1000,9000,0.135
Single Wall Coffee Cups,BR-SWC,12oz,1000,10000,0.131
Single Wall Coffee Cups,BR-SWC,12oz,1000,15000,0.126
Single Wall Coffee Cups,BR-SWC,12oz,1000,20000,0.12
Single Wall Coffee Cups,BR-SWC,12oz,1000,25000,0.098
Single Wall Coffee Cups,BR-SWC,12oz,1000,30000,0.096
Single Wall Coffee Cups,BR-SWC,16oz,1000,1000,0.254
Single Wall Coffee Cups,BR-SWC,16oz,1000,2000,0.215
Single Wall Coffee Cups,BR-SWC,16oz,1000,3000,0.194
Single Wall Coffee Cups,BR-SWC,16oz,1000,4000,0.19
Single Wall Coffee Cups,BR-SWC,16oz,1000,5000,0.18
Single Wall Coffee Cups,BR-SWC,16oz,1000,6000,0.178
Single Wall Coffee Cups,BR-SWC,16oz,1000,7000,0.175
Single Wall Coffee Cups,BR-SWC,16oz,1000,8000,0.172
Single Wall Coffee Cups,BR-SWC,16oz,1000,9000,0.169
Single Wall Coffee Cups,BR-SWC,16oz,1000,10000,0.165
Single Wall Coffee Cups,BR-SWC,16oz,1000,15000,0.16
Single Wall Coffee Cups,BR-SWC,16oz,1000,20000,0.154
Single Wall Coffee Cups,BR-SWC,16oz,1000,25000,0.132
Single Wall Coffee Cups,BR-SWC,16oz,1000,30000,0.13
Double Wall Coffee Cups,BR-DWC,8oz,500,1000,0.22
Double Wall Coffee Cups,BR-DWC,8oz,500,2000,0.185
Double Wall Coffee Cups,BR-DWC,8oz,500,3000,0.164
Double Wall Coffee Cups,BR-DWC,8oz,500,4000,0.16
Double Wall Coffee Cups,BR-DWC,8oz,500,5000,0.15
Double Wall Coffee Cups,BR-DWC,8oz,500,6000,0.148
Double Wall Coffee Cups,BR-DWC,8oz,500,7000,0.145
Double Wall Coffee Cups,BR-DWC,8oz,500,8000,0.142
Double Wall Coffee Cups,BR-DWC,8oz,500,9000,0.139
Double Wall Coffee Cups,BR-DWC,8oz,500,10000,0.135
Double Wall Coffee Cups,BR-DWC,8oz,500,15000,0.13
Double Wall Coffee Cups,BR-DWC,8oz,500,20000,0.124
Double Wall Coffee Cups,BR-DWC,8oz,500,25000,0.102
Double Wall Coffee Cups,BR-DWC,8oz,500,30000,0.1
Double Wall Coffee Cups,BR-DWC,12oz,500,1000,0.24
Double Wall Coffee Cups,BR-DWC,12oz,500,2000,0.205
Double Wall Coffee Cups,BR-DWC,12oz,500,3000,0.186
Double Wall Coffee Cups,BR-DWC,12oz,500,4000,0.182
Double Wall Coffee Cups,BR-DWC,12oz,500,5000,0.172
Double Wall Coffee Cups,BR-DWC,12oz,500,6000,0.168
Double Wall Coffee Cups,BR-DWC,12oz,500,7000,0.165
Double Wall Coffee Cups,BR-DWC,12oz,500,8000,0.161
Double Wall Coffee Cups,BR-DWC,12oz,500,9000,0.158
Double Wall Coffee Cups,BR-DWC,12oz,500,10000,0.154
Double Wall Coffee Cups,BR-DWC,12oz,500,15000,0.149
Double Wall Coffee Cups,BR-DWC,12oz,500,20000,0.142
Double Wall Coffee Cups,BR-DWC,12oz,500,25000,0.12
Double Wall Coffee Cups,BR-DWC,12oz,500,30000,0.107
Double Wall Coffee Cups,BR-DWC,16oz,500,1000,0.28
Double Wall Coffee Cups,BR-DWC,16oz,500,2000,0.23
Double Wall Coffee Cups,BR-DWC,16oz,500,3000,0.22
Double Wall Coffee Cups,BR-DWC,16oz,500,4000,0.197
Double Wall Coffee Cups,BR-DWC,16oz,500,5000,0.195
Double Wall Coffee Cups,BR-DWC,16oz,500,6000,0.192
Double Wall Coffee Cups,BR-DWC,16oz,500,7000,0.188
Double Wall Coffee Cups,BR-DWC,16oz,500,8000,0.184
Double Wall Coffee Cups,BR-DWC,16oz,500,9000,0.18
Double Wall Coffee Cups,BR-DWC,16oz,500,10000,0.175
Double Wall Coffee Cups,BR-DWC,16oz,500,15000,0.168
Double Wall Coffee Cups,BR-DWC,16oz,500,20000,0.155
Double Wall Coffee Cups,BR-DWC,16oz,500,25000,0.139
Double Wall Coffee Cups,BR-DWC,16oz,500,30000,0.126