sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
STR-8-WH-2,Jumbo White 8mm Paper Straw Wrapped 7.8 – Compostable Recyclable,"paper, pp",,White,Paper,Jumbo Straw Wrapped 7.8,8mm,"Compostable, Recyclable"
STR-SP-8-WH,Red/White Paper Spoon Straw 8mm x 200mm – Recyclable Food-Safe,paper,,White,Paper,Red/ Spoon Straw Food-Safe,"",Compostable
STR-6-WH-2,Red/White Paper Straw 6mm x 200mm – Recyclable Food-Safe,"paper, pp",,White,Paper,Red/ Straw Food-Safe,"6mm, 200mm, 6 mm",Recyclable
VEG-STR-9-GN,Vegware Bubble Tea Green Stripe 12 mm Paper Straw 9″ – Compostable,"paper, pla, pp, plastic",Vegware,,Paper,Bubble Tea Green Stripe Straw,"12 mm, 9″","Compostable, Recyclable"
VEG-STR-CK-6-BK-2,"Vegware Cocktail Black 6mm Paper Straw, 5.5in Recyclable/Compostable","paper, pla, pp",Vegware,Black,Paper,Cocktail Straw,6mm,Compostable
VEG-STR-6-BK-3,"Vegware Highball Black 6mm Paper Straw, 7.8in Recyclable/Compostable","paper, pla, pp",Vegware,Black,Paper,Highball Straw,6mm,Compostable
VEG-STR-10-GN,"Vegware Jumbissimo Green Stripe 10mm Paper Straw, 7.8in Recyclable/Compostable","paper, pla",Vegware,,Paper,Jumbissimo Green Stripe Straw,10mm,Compostable
VEG-STR-8-GN,"Vegware Jumbo Green Stripe 8mm Paper Straw, 7.8in Recyclable/Compostable (Case of 3000)","paper, pla",Vegware,,Paper,Jumbo Green Stripe Straw,8mm,Compostable
VEG-STR-6-GN,"Vegware Standard Green Stripe 6mm Paper Straw, 7.8in Recyclable/Compostable","paper, pla, pp",Vegware,,Paper,Standard Green Stripe Straw,6mm,Compostable
STR-CK-6-WH,White Paper Cocktail Straw 6mm x 140mm – Recyclable Food-Safe,paper,,White,Paper,Cocktail Straw Food-Safe,"6mm, 140mm",Recyclable
STR-10-WH,White Paper Straw 10mm x 200mm – Recyclable Food-Safe,"paper, pp",,White,Paper,Straw Food-Safe,"10mm, 200mm, 10 mm",Recyclable
STR-200-WH,White Paper Straws Individually Wrapped – 200 mm × 8 mm,"paper, pp",,White,Paper,Straws Individually Wrapped ×,"",Compostable
PIZ-KR,10in Brown Kraft Pizza Box Recyclable/Compostable (Case of 75),"",,Brown,Kraft,Pizza Box,"",""
FNC-4,4oz Leakproof Recyclable Paper Pots with lids (Case of 250),"kraft, paper",,,Paper,Leakproof Pots with lids,"",Recyclable
PIZ-BG-5-BK,5″ x 5″ Black Folded Board Burger Tray – Recyclable,"",,Black,,Folded Board Burger Tray,5″,Recyclable
FNC-7,7oz Leakproof Recyclable Paper Pots with lids (Case of 250),paper,,,Paper,Leakproof Pots with lids,"",Recyclable
MFB-BG-BK-2,Black Kraft Burger Box – Case of 200 Recyclable,"kraft, pp",,Black,Kraft,Burger Box,"",Recyclable
MFB-BG-BK,Black Kraft Burger Chip Box Recyclable,"",,Black,Kraft,Burger Chip Box,"",Recyclable
MFB-BG-KR,Kraft Burger Box Recyclable,"kraft, pp",,,Kraft,Burger Box,"",Recyclable
MFB-BG-KR-2,Kraft Burger Chip Box Recyclable,kraft,,,Kraft,Burger Chip Box,"",Recyclable
PIZ-TY-BK,Large Black Folded Board Tray – Recyclable,pp,,Black,,Large Folded Board Tray,"",Recyclable
FNC,Large Fish ‘n’ Chips Recyclable Paper Bag (Case of 250),"kraft, paper",,,Paper,Large Fish ‘n’ Chips Bag,"",Recyclable
FNC-3,Large Fish and Chips Takeaway Box (Case of 100),"",,,,Large Fish and Chips Takeaway Box,"",Recyclable
PIZ-TY-KR,Large Kraft Folded Board Tray – Recyclable,"",,,Kraft,Large Folded Board Tray,"",Recyclable
PIZ-TY-BK-2,Medium Black Folded Board Meal Tray – Recyclable,pp,,Black,,Medium Folded Board Meal Tray,"",Recyclable
FNC-2,Medium Fish and Chips Recyclable Paper Bag (Case of 250),"kraft, paper",,,Paper,Medium Fish and Chips Bag,"",Recyclable
FNC-5,Medium Fish and Chips Recyclable Takeaway Box (Case of 100),cardboard,,,,Medium Fish and Chips Takeaway Box,"",Recyclable
PIZ-TY,Pizza Slice Tray Compostable (Case of 1000),"",,,,Pizza Slice Tray,"",""
PIZ-BG-2,Premium burger box 5in Recyclable/Compostable (Case of 100),"kraft, pla",,,,Premium burger box,"",""
PIZ-BG,Premium burger meal box 9 x 5in Recyclable/Compostable (Case of 100),pla,,,,Premium burger meal box,"",Compostable
PIZ-TY-BK-3,Small Black Folded Board Tray – Recyclable,"",,Black,,Small Folded Board Tray,"",Recyclable
FNC-6,Small Fish and Chips Recyclable Takeaway Box (Case of 100),cardboard,,,,Small Fish and Chips Takeaway Box,"",Recyclable
PIZ-TY-KR-2,Small Kraft Folded Board Tray – Recyclable,kraft,,,Kraft,Small Folded Board Tray,"",Recyclable
VEG-MFB-HG-4,Vegware 5 x 3in Microflute Hinged Window Hot Box – Compostable,"",Vegware,,,Microflute Hinged Window Hot Box,3in,Compostable
VEG-MFB-HG-5,Vegware 6 x 4in Microflute Hinged Hot Box – Compostable,"",Vegware,,,Microflute Hinged Hot Box,4in,Compostable
VEG-MFB-HG-3,Vegware 6 x 4in Microflute Hinged Window Hot Box – Compostable,"",Vegware,,,Microflute Hinged Window Hot Box,4in,Compostable
VEG-MFB-TY-2,Vegware 6 x 6in Microflute Food Tray – Compostable,"",Vegware,,,Microflute Food Tray,6in,Compostable
VEG-MFB-HG-6,Vegware 6 x 6in Microflute Hinged Hot Box – Compostable,"",Vegware,,,Microflute Hinged Hot Box,6in,Compostable
VEG-MFB-HG-2,Vegware 6 x 6in Microflute Hinged Window Hot Box – Compostable,"",Vegware,,,Microflute Hinged Window Hot Box,6in,Compostable
VEG-MFB-HG-7,Vegware 8 x 5in Microflute Hinged Hot Box – Compostable,"",Vegware,,,Microflute Hinged Hot Box,5in,Compostable
VEG-MFB-HG,Vegware 8 x 5in Microflute Hinged Window Hot Box – Compostable,"",Vegware,,,Microflute Hinged Window Hot Box,5in,Compostable
VEG-MFB-TY,Vegware 8 x 6in Microflute Food Tray – Compostable,"",Vegware,,,Microflute Food Tray,6in,Compostable
PIZ-WH,White Paperboard Crepe Cone Recyclable/Compostable (Case of 1000),"paper, cardboard",,White,,Paperboard Crepe Cone,148 mm,Recyclable
PFC,1000cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),"pla, polypropylene, plastic",,,Plastic,1000cc Microwaveable Container with Lids,"",""
PFC-4,500cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),"pla, polypropylene, plastic",,,Plastic,500cc Microwaveable Container with Lids,"",""
SUN-LB-50-RD,50mm Removable Use First Red Labels,pp,,Red,,Removable Use First Labels,50mm,""
PFC-3,650cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),"pla, polypropylene, plastic",,,Plastic,650cc Microwaveable Container with Lids,"",""
HCX-ST,7.5in Wooden Stirrer Recyclable/Compostable,"wood, wooden",,,Wood,Stirrer,"",""
PFC-2,750cc Microwaveable Plastic Container with Lids Recyclable (Case of 250),"pla, polypropylene, plastic",,,Plastic,750cc Microwaveable Container with Lids,"",""
SUN-LB-50,Allergen Contents Label 50mm (Pack of 500),"",,,,Allergen Contents Label,"",""
SUN-LB-95,Allergen Contents Label Date Prep Info 60x95mm (Pack of 500),"",,,,Allergen Contents Label Date Prep Info,"",""
GP-250-BK,Black Gingham Printed Paper Sheets – 250mm x 200mm Food Safe Recyclable,"paper, pp",,Black,Paper,Gingham Printed Sheets,"250mm, 200mm",Recyclable
SUN-BL,Blue Centrefeed Roll 2 Ply (Case of 6),"",,Blue,,ntrefeed Roll 2 Ply,"",""
GP-250-BL,Blue Gingham Printed Paper Sheets – 250mm x 200mm Food Safe Recyclable,"paper, pp",,Blue,Paper,Gingham Printed Sheets,"250mm, 200mm",Recyclable
GP-375-BL,Blue Gingham Printed Paper Sheets – 375mm x 250mm Food Safe Recyclable,"paper, pp",,Blue,Paper,Gingham Printed Sheets,"375mm, 250mm",Recyclable
GP-BG-320-BL,Blue Printed Burger Wraps 250x320mm Food Safe Recyclable,pp,,Blue,,Printed Burger Wraps,"250mm, 200mm",Recyclable
GP-375,Bon Appétit Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,"paper, pp",,,Paper,Bon Appétit Printed Greaseproof Sheets,"375mm, 245mm",Recyclable
SUN-RD-19,Day Food Rotation Labels Complete Set 7 Days 19mm Round (7 rolls of 1000),"pp, cardboard",,,,Day Food Rotation Labels Complete Set 7 Days Round (7 rolls of 1000),"",""
SUN-RD-20-3,Day Food Rotation Labels Round 20mm Friday (Roll of 1000),"pp, cardboard",,,,Day Food Rotation Labels Round Friday (Roll of 1000),"",""
SUN-RD-20-7,Day Food Rotation Labels Round 20mm Monday (Roll of 1000),"pp, cardboard",,,,Day Food Rotation Labels Round Monday (Roll of 1000),"",""
SUN-RD-20-2,Day Food Rotation Labels Round 20mm Saturday (Roll of 1000),"pp, cardboard",,,,Day Food Rotation Labels Round Saturday (Roll of 1000),"",""
SUN-RD-20,Day Food Rotation Labels Round 20mm Sunday (Roll of 1000),"pp, cardboard",,,,Day Food Rotation Labels Round Sunday (Roll of 1000),"",""
SUN-RD-20-4,Day Food Rotation Labels Round 20mm Thursday (Roll of 1000),"pp, cardboard",,,,Day Food Rotation Labels Round Thursday (Roll of 1000),"",""
SUN-RD-20-6,Day Food Rotation Labels Round 20mm Tuesday (Roll of 1000),"pp, cardboard",,,,Day Food Rotation Labels Round Tuesday (Roll of 1000),"",""
SUN-RD-20-5,Day Food Rotation Labels Round 20mm Wednesday (Roll of 1000),"pp, cardboard",,,,Day Food Rotation Labels Round Wednesday (Roll of 1000),"",""
GP-375-2,Gourmet Grilled Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,"paper, pp",,,Paper,Gourmet Grilled Printed Greaseproof Sheets,"375mm, 245mm",Recyclable
GP-BG-320-GN,Green Printed Burger Wraps 250x320mm Food Safe Recyclable,pp,,,,Green Printed Burger Wraps,"250mm, 200mm",Recyclable
GP-350,Honeycomb Foil-Backed Deli Wrap Sheets – 267 x 350mm (Food Safe Insulating),foil,,,Foil,Honeycomb -Backed Deli Wrap Sheets ( Insulating),350mm,""
GP-400,Honeycomb Foil-Backed Deli Wrap Sheets – 350x400mm (Food Safe Insulating),foil,,,Foil,Honeycomb -Backed Deli Wrap Sheets ( Insulating),400mm,""
SAN-TY-KR,Kraft Baguette Tray Compostable (Case of 500),"kraft, pla",,,Kraft,Baguette Tray,"",Compostable
SAN-6-KR,Kraft Bloomer Bag 6″ x 3″ x 9″ – NatureFlex Window,kraft,,,Kraft,Bloomer Bag NatureFlex Window,"6″, 3″, 9″",Compostable
SAN-SW-KR,Kraft Sandwich Card Recyclable/Compostable 5 x 5in (Case of 500),"kraft, pla, pp",,,Kraft,Sandwich Card,"",Compostable
SUN-CL,Large Clear Food Handling Gloves Recyclable (Case of 1000),pp,,Clear,,Large Food Handling Gloves,"",""
FOL-5,Lids for No. 1 Container Recyclable (Case of 1000),foil,,,,Lids for No. 1 Container,121mm,""
FOL-RD,Lids for No. 12 Container Round Recyclable (Case of 400),foil,,,,Lids for No. 12 Container Round,179mm,""
FOL-4,Lids for No. 2 Container Recyclable (Case of 1000),foil,,,,Lids for No. 2 Container,121mm,""
FOL-2,Lids for No. 6 Container Recyclable (Case of 500),foil,,,,Lids for No. 6 Container,213mm,""
FOL-3,Lids for No. 6A Container Recyclable (Case of 500),foil,,,,Lids for No. 6A Container,5mm,""
FOL,Lids for No. 9 Container Recyclable (Case of 200),foil,,,,Lids for No. 9 Container,237mm,""
SAN-TR,Long Tortilla Bag with Film – Recyclable Wrap Packaging,pla,,,,Long Tortilla Bag with Film Wrap Packaging,"",Recyclable
SUN-CL-2,Medium Clear Food Handling Gloves Recyclable (Case of 1000),pp,,Clear,,Medium Food Handling Gloves,"",""
GP-375-4,Newspaper Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,"paper, pp",,,Paper,Newspaper Printed Greaseproof Sheets,"375mm, 245mm",Recyclable
GP-BG-320-OR,Orange Printed Burger Wraps 250x320mm Food Safe Recyclable,pp,,Orange,,Printed Burger Wraps,"250mm, 200mm",Recyclable
GP-250-RD,Red Gingham Printed Paper Sheets – 250mm x 200mm Food Safe Recyclable,"paper, pp",,Red,Paper,Gingham Printed Sheets,"250mm, 200mm",Recyclable
GP-375-RD,Red Gingham Printed Paper Sheets – 375mm x 250mm Food Safe Recyclable,"paper, pp",,Red,Paper,Gingham Printed Sheets,"375mm, 250mm",Recyclable
GP-BG-320-RD,Red Printed Burger Wraps 250x320mm Food Safe Recyclable,pp,,Red,,Printed Burger Wraps,"250mm, 200mm",Recyclable
SUN,Release Agent Spray PR100,"",,,,Release Agent Spray PR100,600ml,""
SUN-LB-65-RD,Removable Food Rotation Labels Red Day Label 50x65mm (Roll of 500),"",,Red,,Removable Food Rotation Labels Day Label (Roll of 500),"",""
SAN-SW,Sandwich Bag with Film – Recyclable Packaging for Wraps Rolls,pla,,,,Sandwich Bag with Film Packaging for Wraps Rolls,"",Recyclable
SUN-LB-100,Shelf Life Labels 50x100mm (Pack of 500),"pla, pp",,,,Shelf Life Labels,"",""
SAN,Small Hot Pillow Pack (Case of 250),"",,,,Small Hot Pillow Pack,44 mm,""
SUN-SQ-25,Square 7 Day Food Rotation Labels 25mm Mon Sun (7 x Rolls of 1000),"",,,,Square 7 Day Food Rotation Labels Mon Sun ( Rolls of 1000),"",""
SUN-SQ-25-4,Square Day Food Rotation Labels 25mm Friday (Roll of 1000),"pla, plastic",,,,Square Day Food Rotation Labels Friday (Roll of 1000),"",""
SUN-SQ-25-8,Square Day Food Rotation Labels 25mm Monday (Roll of 1000),"pla, plastic",,,,Square Day Food Rotation Labels Monday (Roll of 1000),"",""
SUN-SQ-25-3,Square Day Food Rotation Labels 25mm Saturday (Roll of 1000),"pla, plastic",,,,Square Day Food Rotation Labels Saturday (Roll of 1000),"",""
SUN-SQ-25-2,Square Day Food Rotation Labels 25mm Sunday (Roll of 1000),"pla, plastic",,,,Square Day Food Rotation Labels Sunday (Roll of 1000),"",""
SUN-SQ-25-5,Square Day Food Rotation Labels 25mm Thursday (Roll of 1000,"pla, plastic",,,,Square Day Food Rotation Labels Thursday (Roll of 1000,"",""
SUN-SQ-25-7,Square Day Food Rotation Labels 25mm Tuesday (Roll of 1000),"pla, plastic",,,,Square Day Food Rotation Labels Tuesday (Roll of 1000),"",""
SUN-SQ-25-6,Square Day Food Rotation Labels 25mm Wednesday (Roll of 1000),"pla, plastic",,,,Square Day Food Rotation Labels Wednesday (Roll of 1000),"",""
GP-250,Steak House Printed Greaseproof Paper Sheets – 250mm x 350mm Food Safe Recyclable,"paper, pp",,,Paper,Steak House Printed Greaseproof Sheets,"250mm, 350mm",Recyclable
SUN-80,Thermal Till Rolls 80mm x 76mm (Pack of 20),paper,,,,Thermal Till Rolls,"80mm, 76mm",""
SUN-57,Thermal Till/PDQ Roll 57mm x 30mm Chip N Pin (Pack of 20),"paper, pla",,,,Thermal Till/PDQ Roll Chip N Pin,5mm,""
SUN-57-2,Thermal Till/PDQ Roll 57mm x 38mm Chip N Pin (Pack of 20),"paper, pla",,,,Thermal Till/PDQ Roll Chip N Pin,5mm,""
VEG-SUN-8,Vegware 10L Completely Compostable Liner,"pla, plastic",Vegware,,,10L Completely Liner,"",Compostable
VEG-SUN-3,Vegware 140L Completely Compostable Liner,"pla, plastic",Vegware,,,140L Completely Liner,"",Compostable
VEG-SAN-CP,Vegware 2-compartment PLA Sandwich Sofa Compostable (Case of 250),pla,Vegware,,PLA,2-compartment Sandwich Sofa,"",Compostable
VEG-HCX-CR-5,Vegware 2-Cup Handled Carrier Recyclable/Compostable (Case of 250),"pla, pulp",Vegware,,,2-Cup Handled Carrier,"",Recyclable
VEG-SUN-2,Vegware 240L Completely Compostable Liner,"pla, plastic",Vegware,,,240L Completely Liner,"",Compostable
VEG-SUN-7,Vegware 25L Completely Compostable Liner,"pla, plastic",Vegware,,,25L Completely Liner,"",Compostable
VEG-GP-275-2,Vegware 300 x 275mm Unbleached Greaseproof Sheet Compostable (Case of 500),"paper, pla, pp",Vegware,,,Unbleached Greaseproof Sheet,"",Compostable
VEG-GP-400-CL,Vegware 300 x 400mm Clear PLA Sheet Compostable (Case of 1000),"pla, pp",Vegware,Clear,PLA,Sheet,"",Compostable
VEG-SUN-6,Vegware 30L Completely Compostable Liner,"pla, plastic",Vegware,,,30L Completely Liner,"",Compostable
VEG-GP-225,Vegware 350 x 225mm Greaseproof Sheet Compostable (Case of 1920),"paper, pla, pp",Vegware,,,Greaseproof Sheet,"",Compostable
VEG-GP-225-GN,Vegware 350 x 225mm Greaseproof Sheet Green Tree Compostable (Case of 1000),"paper, pla, pp",Vegware,,,Greaseproof Sheet Green Tree,"",Compostable
VEG-GP-275,Vegware 380 x 275mm Unbleached Greaseproof Sheet Compostable (Case of 500),"paper, pla, pet, pp, plastic",Vegware,,,Unbleached Greaseproof Sheet,"",Compostable
VEG-HCX-CR-4,Vegware 4-Cup Handled Carrier Recyclable/Compostable (Case of 200),"pla, pulp",Vegware,,,4-Cup Handled Carrier,"",Recyclable
VEG-GP-300-WH,Vegware 400 x 300mm White Greaseproof Sheet Bakery Compostable (Case of 1000),paper,Vegware,White,,Greaseproof Sheet Bakery,"",""
VEG-GP-300-WH-2,Vegware 400 x 300mm White Greaseproof Sheet Grill Compostable (Case of 1000),paper,Vegware,White,,Greaseproof Sheet Grill,"",""
VEG-GP-350-GN,Vegware 430 x 350mm Greaseproof Green Tree Compostable (Case of 960),"paper, pla, pp",Vegware,,,Greaseproof Green Tree,"",Compostable
VEG-GP-350-2,Vegware 430 x 350mm Greaseproof Sheet Compostable (Case of 960),"paper, pla, pp",Vegware,,,Greaseproof Sheet,"",Compostable
VEG-SUN-RD-45-2,Vegware 45mm Round Compostable Sticker (Case of 1000),"",Vegware,,,Round Sticker,"",Compostable
VEG-SUN-RD-45-GN,Vegware 45mm Round Sticker Green Tree Compostable (Roll of 1000),"",Vegware,,,Round Sticker Green Tree (Roll of 1000),"",Compostable
VEG-SUN-RD-45,"Vegware 45mm Round Write-On Compostable Sticker (Case of 1,000)","",Vegware,,,Round Write-On Sticker,"",Compostable
VEG-HCX-ST-2,Vegware 5.5in Wooden Stirrer Recyclable/Compostable,"wood, wooden",Vegware,,Wood,Stirrer,12oz,""
VEG-SUN-5,Vegware 70L Completely Compostable Liner,"pla, plastic",Vegware,,,70L Completely Liner,"",Compostable
VEG-SUN-4,Vegware 80L Completely Compostable Liner,"pla, plastic",Vegware,,,80L Completely Liner,"",Compostable
VEG-SUN-9,Vegware 8L Completely Compostable Liner,"",Vegware,,,8L Completely Liner,"",Compostable
VEG-SAN-SW-KR-2,Vegware Bloomer Sandwich Kraft Carton Compostable (Case of 500),"kraft, paper, pla",Vegware,,Kraft,Bloomer Sandwich Carton,"",Compostable
VEG-GP-BG-330-GN,Vegware Burger Wrap (258 x 330mm) Green Tree Compostable (Case of 960),"paper, pla, pp, plastic",Vegware,,,Burger Wrap Green Tree,"",Compostable
VEG-GP-BG-330,Vegware Burger Wrap 258 x 330mm Compostable (Case of 960),"paper, pla, pp",Vegware,,,Burger Wrap,"",Compostable
VEG-SAN-SW-75-KR,Vegware Deep Fill 75mm Kraft Sandwich Wedge Compostable (Case of 500),"kraft, paper, pla",Vegware,,Kraft,Deep Fill Sandwich Wedge,"",Compostable
VEG-HCX-BR,"Vegware Fairtrade Brown Sugar Sticks, Compostable Wrap (Case of 1000)","paper, pla, pp",Vegware,Brown,,"Fairtrade Sugar Sticks, Wrap","","Compostable, Recyclable"
VEG-HCX-WH,"Vegware Fairtrade White Sugar Sticks, Compostable Wrap Recyclable/Compostable (Case of 1,000)","paper, pla, pp",Vegware,White,,"Fairtrade Sugar Sticks, Wrap","","Compostable, Recyclable"
VEG-HCX-SV,Vegware Large sleeve fits 89 series cup Compostable (Case of 2000),kraft,Vegware,,,Large sleeve fits 89 series cup,16oz,Recyclable
VEG-SUN-CR,Vegware Medium Compostable Carrier (Case of 500),"pla, pp, plastic",Vegware,,,Medium Carrier,"",Compostable
VEG-HCX-SV-2,Vegware Small Sleeve Fits 79 Series Cup Recyclable/Compostable (Case of 1000),"kraft, pla",Vegware,,,Small Sleeve Fits 79 Series Cup,"",Recyclable
VEG-HCX-CR,Vegware Splittable card cup carrier Compostable/Recyclable (Case of 130),"kraft, pla, pp",Vegware,,,Splittable card cup carrier,"",Compostable
VEG-SAN-SW-65-KR,Vegware Standard 65mm Kraft Sandwich Wedge Compostable (Case of 500),"kraft, paper, pla",Vegware,,Kraft,Standard Sandwich Wedge,65mm,Compostable
VEG-HCX-NT,"Vegware Stevia Natural Sweetener Sticks, Compostable Wrap (Case of 1000)","paper, pla",Vegware,,,"Stevia Natural Sweetener Sticks, Wrap","","Compostable, Recyclable"
VEG-SAN-TR-KR,Vegware Tortilla / Wrap Kraft Carton Compostable (Case of 500),"kraft, pla, pp",Vegware,,Kraft,Tortilla / Wrap Carton,"",Compostable
GP-BG-320-YL,Yellow Printed Burger Wraps 250x320mm Food Safe Recyclable,pp,,,,Yellow Printed Burger Wraps,"250mm, 200mm",Recyclable
GP-375-3,Yum Yum Printed Greaseproof Paper Sheets – 375mm x 245mm Food Safe Recyclable,"paper, pp",,,Paper,Yum Yum Printed Greaseproof Sheets,"375mm, 245mm",Recyclable
