production_sku,current_title,proposed_ppp_sku,proposed_ppp_name,your_pack,your_case,ppp_pack,ppp_case,total,text,price_bonus,margin,tier,alt_ppp_sku,collision
VEG-BAG,Vegware Glassine Bag With NatureFlex Window - 100 x 50 x 250mm,"","",,65.63,"","",4,1,3,1,no-match,"",""
VEG-DEL-HG-12,Vegware PLA Hinged Lid Deli Container - 124 x 142 x 55mm,"","",30.01,79.85,"","",4,-2,6,0,no-match,"",""
VEG-DEL-RD-12,Vegware PLA Round Deli Container - 118 x 54mm,"","",12.11,79.09,"","",4,0,4,0,no-match,"",""
VEG-DEL-FL-32,Vegware PLA 185-Series Flat Lid - 15mm,"","",33.29,65.14,"","",4,0,4,0,no-match,"",""
VEG-DEL-HG-8,Vegware PLA Hinged Lid Deli Container - 105 x 122 x 50mm,"","",26.94,66.06,"","",4,-2,6,0,no-match,"",""
VEG-GP-300-WH,Vegware White Greaseproof Sheet Bakery - 300 x 400mm,"","",,48.2,"","",4,3,1,0,no-match,"",""
VEG-GP-300-WH-2,Vegware White Greaseproof Sheet Grill - 300 x 400mm,"","",,48.2,"","",4,1,3,0,no-match,"",""
VEG-BGT-BW-12-2,Vegware Bagasse Tall Bowl - 152 x 152 x 48mm,"","",6.49,27.72,"","",4,-2,6,1,no-match,"",""
VEG-CTL-FK-4,Vegware Paper Fork - 157 x 31mm,"","",6.97,31.62,"","",4,1,3,0,no-match,"",""
VEG-CTL-KN,Vegware Paper Knife - 157 x 26mm,"","",6.97,31.62,"","",4,1,3,0,no-match,"",""
VEG-CTL-SP-2,Vegware Paper Spoon - 157 x 35 x 7mm,"","",6.97,31.62,"","",4,0,4,0,no-match,"",""
VEG-DEL-BW-32,"Vegware PLA Food Bowl, 185-Series - 80 x 185 x 85mm","","",45.26,92.55,"","",4,-2,6,0,no-match,"",""
VEG-BGP-CS-5,Vegware Bagasse Clamshell - 155 x 228 x 74mm,"","",17.64,31.77,"","",4,1,3,0,no-match,"",""
VEG-BAG-3,Vegware Paper Therma Bag - 297 x 127 x 50mm,"","",,61.2,"","",3,0,3,0,no-match,"",""
VEG-BAG-4,Vegware Paper Therma Bag - 360 x 100 x 51mm,"","",,60.65,"","",3,0,3,0,no-match,"",""
VEG-BAG-5,Vegware Paper Therma Bag - 236 x 164 x 76mm,"","",,74.16,"","",3,0,3,0,no-match,"",""
VEG-BAG-2,Vegware Paper Therma Pouch - 203 x 51 x 230mm,"","",,77.75,"","",3,0,3,0,no-match,"",""
VEG-BGT-PL-3,Vegware Bagasse Plate - 178 x 178 x 17mm,"","",,27.62,"","",3,0,3,0,no-match,"",""
VEG-CUP-DW-8-GN,"Vegware Double Wall Hot Takeaway Cup, 79 Series Green Tree - 8oz",VDW-8-GT,"Vegware 8oz Double Wall Hot Takeaway Cup, 79 Series &#8211; Green Tree Compostable",7.26,49.1,6.66,45.05,22,16,6,1,review,LV-8-GT,""
VEG-BGG-12,Vegware Gourmet Dipping Base - 12oz / 360ml,V3-GBCC,Vegware 12oz / 360ml Gourmet Dipping Base Compostable,11.97,62.56,10.98,57.39,17,11,6,1,review,V3-GB12,""
VEG-SPC-16-2,"Vegware Soup Container, 115 Series - 16oz",SC-G16,"Vegware 16oz Soup Container, 115 Series &#8211; Green Tree Compostable",6.9,51.89,6.33,48.59,16,10,6,0,review,SC-16,DUP
VEG-SPC-8-2,"Vegware Soup Container, 90 Series - 8oz",SC-G08,"Vegware 8oz Soup Container, 90 Series &#8211; Green Tree Compostable",8.07,64.75,7.4,58.21,16,10,6,0,review,SC-08,DUP
VEG-SPC-10,"Vegware Soup Container, 90 Series - 10oz",SC-G10,"Vegware 10oz Soup Container, 90 Series &#8211; Green Tree Compostable",8.07,67.13,8.1,62.85,16,10,6,0,review,SC-10,DUP
VEG-CC-20-3,"Vegware PLA Plain Cold Cup, 96 Series - 20oz",R600,"Vegware 20oz PLA Plain Cold Cup, 96 Series Compostable",17.15,159.88,15.73,146.68,15,9,6,1,review,R600CE-VW,DUP
VEG-STR-CK-6-BK-2,Vegware Black Paper Cocktail Straw - 6mm x 150mm,PS06C-BLK,"Vegware Cocktail Black 6mm Paper Straw, 5.5in Recyclable/Compostable",11.91,98.09,10.93,89.99,15,9,6,1,review,PS06H-BLK,""
VEG-STR-6-BK-3,Vegware Black Paper Highball Straw - 6mm x 200mm,PS06H-BLK,"Vegware Highball Black 6mm Paper Straw, 7.8in Recyclable/Compostable",12.67,105.39,11.62,96.69,15,9,6,1,review,PS06C-BLK,""
VEG-CC-16-3,"Vegware PLA Plain Cold Cup, 96 Series - 16oz",R500CE,"Vegware 16oz PLA Plain Cold Cup, 96 Series Compostable",14.86,143.86,13.63,131.98,15,9,6,1,review,R500CE-VW,DUP
VEG-CC-16-4,"Vegware PLA Cold Cup, 96 Series - 16oz",R500CE,"Vegware 16oz PLA Plain Cold Cup, 96 Series Compostable",14.9,143.86,13.63,131.98,14,8,6,0,review,R500CE-VW,DUP
VEG-CC-9-7,"Vegware PLA Cold Cup, 96 Series - 9oz",R300S-VW,"Vegware 9oz PLA Cold Cup, 96 Series Compostable",10.61,99.34,9.73,91.14,14,8,6,0,review,R300S,""
VEG-CC-9-GN,"Vegware PLA Cold Cup, 96 Series- Green Tree - 9oz",R300S,"Vegware 9oz PLA Plain Cold Cup, 96 Series Compostable",10.76,99.34,9.73,91.14,14,8,6,0,review,R300S-VW,""
VEG-CC-DL-2,"Vegware PLA Dome Lid, NO HOLE (Fits 76 Series) - 80 x 32mm",C76D-NH,"Vegware PLA Dome Lid, NO HOLE (Fits 76 Series) Compostable",6.08,50.48,5.58,46.31,14,8,6,1,review,C76F-NH,""
VEG-CC-DL-3,"Vegware PLA Dome Lid, STRAW SLOT (Fits 76 Series) - 80 x 80 x 32mm",C76D-CH,"Vegware PLA Dome Lid, STRAW SLOT (Fits 76 Series) Compostable",6.08,50.48,5.58,46.31,14,8,6,1,review,C76F-CH,""
VEG-CC-FL-3,"Vegware PLA Flat Lid, NO HOLE (Fits 76 Series) - 80 x 80 x 20mm",C76F-NH,"Vegware PLA Flat Lid, NO HOLE (Fits 76 Series) Compostable",5.74,49.51,5.27,45.42,14,8,6,1,review,C76D-NH,""
VEG-CC-FL-4,"Vegware PLA Flat Lid, STRAW SLOT (Fits 76 Series) - 80 x 80 x 20mm",C76F-CH,"Vegware PLA Flat Lid, STRAW SLOT (Fits 76 Series) Compostable",5.74,49.51,5.27,45.42,14,8,6,1,review,C76D-CH,""
VEG-CC-20-4,"Vegware PLA Cold Cup, 96 Series - 20oz",R600,"Vegware 20oz PLA Plain Cold Cup, 96 Series Compostable",17.13,159.88,15.73,146.68,14,8,6,0,review,R600CE-VW,DUP
VEG-CC-9-6,"Vegware PLA Cold Cup, 76 Series - 9oz",R280Y,"Vegware 9oz PLA Plain Cold Cup, 76 Series Compostable",9.46,85.85,8.63,78.76,14,8,6,0,review,R280-VW,""
VEG-CNT-RC-16-BK,Vegware Black Rectangular Food Container - 16oz,SBC-16,Vegware 16oz Rectangular Black Food Container Compostable,,45.16,41.43,41.43,13,10,3,1,review,RBC-16,""
VEG-BWL-RD-24-BK,Vegware Black Round Food Container - 24oz,RBC-24,Vegware 24oz Round Black Food Container Compostable,,47.21,43.31,43.31,13,10,3,1,review,SBC-24,""
VEG-CNT-RC-24-BK,Vegware Black Rectangular Food Container - 24oz,SBC-24,Vegware 24oz Rectangular Black Food Container Compostable,,49.2,45.14,45.14,13,10,3,1,review,RBC-24,""
VEG-CNT-RC-34-BK,Vegware Black Rectangular Food Container - 34oz,SBC-34,Vegware 34oz Rectangular Black Food Container Compostable,,54.67,50.16,50.16,13,10,3,1,review,RBC-34,DUP
VEG-BWL-RD-34-BK,Vegware Black Round Food Container - 34oz,RBC-34,Vegware 34oz Round Black Food Container Compostable,,51.14,46.92,46.92,13,10,3,1,review,SBC-34,""
VEG-BGT-OV,Vegware Bagasse Oval Plate - 10in,P020,Vegware 10in Oval Bagasse Plate Compostable,10.66,44.36,9.78,40.7,13,7,6,1,review,P005,""
VEG-BGT-BW-12,Vegware Bagasse Wide Bowl - 12oz,L043,Vegware 12oz Wide Bagasse Bowl Recyclable/Compostable,6.49,27.72,5.95,25.43,13,7,6,1,review,L003,""
VEG-BAG-WH-3,Vegware White Kraft Flat Bag - 8 x 8,WB0808B,Vegware Recycled White Kraft Flat Bag 8 x 8 Recyclable/Compostable (Case of 1000),,11.29,10.36,10.36,12,9,3,1,review,WB1212B,DUP
VEG-CUP-DW-16-BK,Vegware Black Double Wall Takeaway Cup - 16oz,VDW-B16,Vegware 16oz Black Double Wall Takeaway Cup,,57.68,52.92,52.92,12,9,3,0,review,D04004,""
VEG-BGG-12-2,Vegware Gourmet Base - 12oz / 340ml,V3-GB12,Vegware 12oz / 360ml Gourmet Base Compostable,11.16,61.38,10.24,56.31,12,6,6,0,review,V3-GBCC,""
VEG-CNT-SQ-16-KR,Vegware Kraft Square Food Container - 16oz,RKC-16,Vegware 16oz/500ml Round Kraft Food Container,,45.16,38.41,38.41,12,9,3,1,review,D45024,DUP
VEG-BWL-BW-26-KR,"Vegware Kraft Lined Food Bowl, 185 Series - 172 x 185 x 48mm",RSC-48K,"Vegware 48oz PLA-lined Kraft paper food bowl, 185 Series Compostable (Case of 300)",,71.74,79.99,79.99,12,9,3,0,review,RSC-26K-case,DUP
VEG-BWL-BW-26,"Vegware PLA Lined Food Bowl, 185 Series - 172 x 185 x 48mm",RSC-32,"Vegware 32oz PLA-Lined Paper Food Bowl, 185 Series Compostable",25.0,71.74,25.84,73.98,12,6,6,0,review,RSC-48,DUP
VEG-BWL-BW-32-KR,"Vegware Kraft Lined Food Bowl, 185 Series - 163 x 185 x 63mm",RSC-48K,"Vegware 48oz PLA-lined Kraft paper food bowl, 185 Series Compostable (Case of 300)",,80.64,79.99,79.99,12,9,3,0,review,RSC-32K-case,DUP
VEG-BWL-BW-32,"Vegware PLA Lined Food Bowl, 185 Series - 185 x 185 x 63mm",RSC-48,"Vegware 48oz PLA-Lined Paper Food Bowl, 185 Series Compostable",28.17,80.64,28.27,79.99,12,6,6,0,review,RSC-32,""
VEG-BWL-BW-48-KR,"Vegware Kraft Lined Food Bowl, 185 Series - 185 x 185 x 82mm",RSC-48K,"Vegware 48oz PLA-lined Kraft paper food bowl, 185 Series Compostable (Case of 300)",,87.19,79.99,79.99,12,9,3,0,review,RSC-32K-case,DUP
VEG-BWL-BW-48,"Vegware PLA Lined Food Bowl, 185 Series - 82mm",RSC-32,"Vegware 32oz PLA-Lined Paper Food Bowl, 185 Series Compostable",30.81,87.19,25.84,73.98,12,6,6,0,review,RSC-48,DUP
VEG-SPC-5,Vegware PLA Dome Cold Lid (Fits 115 Series) - 90 x 90 x 42mm,VL115D,Vegware Dome PLA Cold Lid (Fits 115 Series) Recyclable/Compostable,10.68,47.57,9.8,43.64,12,6,6,1,review,V115F,""
VEG-SPC-4,Vegware PLA Flat Cold Lid (Fits 115 Series) - 115 x 115 x 13mm,V115F,Vegware Flat PLA Cold Lid (Fits 115 Series) Recyclable/Compostable,10.73,46.61,9.84,42.76,12,6,6,1,review,VL115D,""
VEG-SPC-6,Vegware PLA Dome Cold Lid (fits 90 Series) - 90 x 90 x 42mm,VL90D,Vegware Dome PLA Cold Lid (fits 90 Series) Recyclable/Compostable,6.09,54.43,5.59,49.94,12,6,6,1,review,V90F,""
VEG-LID-4,Vegware White CPLA Hot Cup Lid (Fits 79 Series) - 72 x 72 x 10mm,VLID79S,Vegware CPLA Hot Cup Lid (Fits 79 Series) Compostable,7.79,65.23,7.15,59.84,11,5,6,0,review,LV-8,""
VEG-CC-12-3,"Vegware Paper Takeaway Cold Cup, 89-Series - 12oz",CV-S12,"Vegware 12oz Takeaway Paper Cold Cup, 89-Series Compostable",12.16,98.65,11.16,90.5,11,5,6,1,review,R360CE-VW,""
VEG-CC-16-2,"Vegware Paper Takeaway Cold Cup, 89-Series - 16oz",CV-S16,"Vegware 16oz Takeaway Paper Cold Cup, 89-Series Compostable",15.66,115.26,14.37,105.74,11,5,6,1,review,R500CE,""
VEG-CC-20-2,"Vegware Paper Takeaway Cold Cup, 89-Series - 20oz",CV-S20,"Vegware 20oz Takeaway paper cold cup, 89-Series Compostable",15.61,132.39,14.32,121.46,11,5,6,1,review,R600CE-VW,""
VEG-CC-5,"Vegware PLA Plain Cold Cup, 76 Series - 46 x 76 x 63mm",R150Y,"Vegware 5oz PLA Plain Cold Cup, 76 Series Compostable",5.94,115.87,5.45,106.3,11,5,6,1,review,R150Y-VW,DUP
VEG-CUP-DW-8,Vegware Feel Good Double Wall Hot Cup - 8oz,VDW-FG08,Vegware 8oz Feel Good double wall hot cup Compostable,,41.09,37.7,37.7,11,8,3,1,review,VDW-FS08,""
VEG-MFB-HG-3,Vegware Microflute Hinged Window Hot Box - 4in,MFWB-6X5,Vegware 6 x 4in Microflute Hinged Window Hot Box – Compostable,,86.85,79.68,79.68,11,8,3,1,review,MFB-6X5,DUP
VEG-MFB-TY,Vegware Microflute Food Tray - 8 x 6in,MFT-8X6,Vegware 8 x 6in Microflute Food Tray – Compostable,,45.97,42.17,42.17,11,8,3,1,review,MFT-6X6,""
VEG-BWL,"Vegware PLA Lined Lid with Vents, 185 Series - 185 x 185 x 16mm",VLID185PK,"Vegware PLA Lined Kraft Paper Lid with Vents, 185 Series Compostable",26.68,81.06,28.96,73.98,11,5,6,0,review,VLID185P,DUP
VEG-MFB-HG,Vegware Microflute Hinged Window Hot Box - 5in,MFWB-8X5,Vegware 8 x 5in Microflute Hinged Window Hot Box – Compostable,,86.07,78.96,78.96,11,8,3,1,review,MFB-8X5,DUP
VEG-MFB-TY-2,Vegware Microflute Food Tray - 6 x 6in,MFT-6X6,Vegware 6 x 6in Microflute Food Tray – Compostable,,47.96,44.0,44.0,11,8,3,1,review,MFT-8X6,""
VEG-CUP-DW-12,Vegware Feel Good Double Wall Hot Cup - 12oz,VDW-FG12,Vegware 12oz Feel Good double wall hot cup Compostable,,47.96,44.0,44.0,11,8,3,1,review,VDW-FS12,""
VEG-LID-8-WH-3,Vegware White Fibre Hot Cup Lid - 80mm / 8oz,BLID79,Vegware 8oz White Moulded Fibre Hot Cup Lid Compostable (Case of 1000),,33.78,30.99,30.99,11,8,3,1,review,D01022,""
VEG-CC-10,"Vegware Paper Cold Cup, 89-Series - 10oz",LV-FG10,"Vegware 10oz Single Wall Feel Good Takeaway Hot Cup, 89 Series Compostable",9.57,79.61,9.63,79.04,11,5,6,0,review,CV-S10,DUP
VEG-CUP-DW-16,Vegware Feel Good Double Wall Hot Cup - 16oz,VDW-FG16,Vegware 16oz Feel Good double wall hot cup Compostable,,49.7,45.6,45.6,11,8,3,1,review,VDW-FS16,""
VEG-LID-3,Vegware CPLA Hot Cup Lid (Fits 89 Series) - 72 x 72 x 10mm,VLID89SB,Vegware Black CPLA Hot Cup Lid (Fits 89 Series) Compostable,7.94,69.57,7.44,62.98,11,5,6,0,review,VLID89S,DUP
VEG-MFB-HG-6,Vegware Microflute Hinged Hot Box - 6in,MFB-6X6,Vegware 6 x 6in Microflute Hinged Hot Box – Compostable,,60.09,55.13,55.13,10,7,3,0,review,MFWB-6X6,""
VEG-MFB-HG-5,Vegware Microflute Hinged Hot Box - 4in,MFWB-6X5,Vegware 6 x 4in Microflute Hinged Window Hot Box – Compostable,,89.4,79.68,79.68,10,7,3,0,review,MFB-6X5,DUP
VEG-MFB-HG-7,Vegware Microflute Hinged Hot Box - 5in,MFWB-8X5,Vegware 8 x 5in Microflute Hinged Window Hot Box – Compostable,,79.6,78.96,78.96,10,7,3,0,review,MFB-8X5,DUP
VEG-HCX-SV,Vegware Large Sleeve Fits 89 Series Cup - 16oz,44940,Vegware Large sleeve &#8211; fits 89 series cup Compostable (Case of 2000),,34.11,31.29,31.29,10,7,3,1,review,VDW-W16,""
VEG-CC-FL,Vegware Fibre 89-Series Nourish Flat Lid STRAW SLOT - 94 x 10mm,BLID89F-CH,Vegware 89-Series Nourish Moulded Fibre Flat Lid – STRAW SLOT,,47.64,43.71,43.71,9,6,3,1,review,PS10-GS,""
VEG-DEL-BW-24,"Vegware PLA Food Bowl, 185-Series",RB-32,"Vegware 32oz PLA food bowl, 185-Series Compostable",40.68,82.57,41.52,84.91,9,3,6,0,review,RB-24,""
VEG-BGG-5,Vegware Bagasse Lid (Size 4) - 225 x 210 x 22mm,V4-GLB,Vegware Compostable Bagasse Lid (Size 4),12.18,60.1,11.17,55.14,9,3,6,1,review,V5-GLB,DUP
VEG-BAG-KR-5,Vegware Kraft Flat Bag - 254 x 254mm,WB1010B,Vegware Recycled White Kraft Flat Bag 10 x 10 Recyclable/Compostable (Case of 1000),,14.44,14.06,14.06,8,5,3,2,review,WB0808B,DUP
VEG-CNT-SQ-KR,Vegware Kraft Square Lid Food Container Lid - 173 x 121 x 25mm,SLID-7X5P,"Vegware Rectangle Kraft Paper Lid – Food Container Lid, Compostable",,58.6,53.76,53.76,8,5,3,1,review,SKC-16,DUP
VEG-IC-6,Vegware Ice Cream Pot (90‑Series) - 6 oz,IC-06,Vegware 6 oz Ice Cream Pot (90‑Series) Compostable,,61.09,56.05,56.05,8,5,3,1,review,SC-06,""
VEG-BGG-4,Vegware PLA Lid (Size 4) - 199 x 185 x 25mm,V4-GLC,Vegware Compostable PLA Lid (Size 4),23.4,127.52,21.47,116.99,8,2,6,1,review,V5-GLC,DUP
VEG-CC,Vegware PLA Combo Lid 96-Series Cold Cup Lid - 99 x 70 x 24mm,C96B-PP,Vegware PLA Combo Lid 96-Series – Compostable Cold Cup Lid,6.69,53.52,6.14,49.1,8,2,6,2,review,VLID62S,""
VEG-POT-5,Vegware PLA Cold Portion Pot - 5oz,R150Y,"Vegware 5oz PLA Plain Cold Cup, 76 Series Compostable",4.72,80.66,5.45,106.3,8,4,4,2,review,R150Y-VW,DUP
VEG-GP-275-2,Vegware Unbleached Greaseproof Sheet - 350 x 225mm,VGGSH2-GT,Vegware 350 x 225mm Greaseproof Sheet &#8211; Green Tree Compostable (Case of 1000),,22.82,30.41,30.41,8,7,1,0,review,VGGSH2-,DUP
VEG-BAG-KR-7,Vegware Kraft Flat Bag - 178 x 178mm,WB0808B,Vegware Recycled White Kraft Flat Bag 8 x 8 Recyclable/Compostable (Case of 1000),,8.99,10.36,10.36,8,5,3,2,review,WB1010B,DUP
VEG-DEL-HG-32,Vegware PLA Hinged Lid Deli Container - 168 x 185 x 65mm,VWST65-,Vegware Standard 65mm Kraft Sandwich Wedge Compostable (Case of 500),52.94,81.75,69.17,69.17,8,4,4,3,review,SLID-7X5P,DUP
VEG-BGG,Vegware PLA Lid (Size 5) - 199 x 185 x 25mm,V5-GLC,Vegware Compostable PLA lid (Size 5),29.55,161.56,27.11,148.22,8,2,6,5,review,"",DUP
VEG-BAG-KR-4,Vegware Kraft Flat Bag - 305 x 305mm,WB0808B,Vegware Recycled White Kraft Flat Bag 8 x 8 Recyclable/Compostable (Case of 1000),,10.67,10.36,10.36,8,5,3,2,review,WB1010B,DUP
VEG-BAG-KR-6,Vegware Kraft Flat Bag - 203 x 203mm,WB0808B,Vegware Recycled White Kraft Flat Bag 8 x 8 Recyclable/Compostable (Case of 1000),,11.94,10.36,10.36,8,5,3,2,review,WB1010B,DUP
VEG-BGT-PL-2,Vegware Bagasse Plate - 9in,P006-SR,Vegware 9in Source-Reduced Bagasse Plate Recyclable/Compostable,10.28,42.74,8.52,35.3,8,6,2,0,review,VB09-3,""
VEG-SPC,Vegware Paper 115-Series Flat Hot Lid - 115 x 115 x 16mm,VLID115P,Vegware 115-Series Flat Paper Hot Lid Compostable,6.2,52.61,5.69,48.27,8,2,6,2,review,C96B-PP,""
VEG-SPC-2,Vegware Paper 90-Series Flat Hot Lid - 90 x 90 x 16mm,VLID90P,Vegware 90-Series Flat Paper Hot Lid Compostable,7.65,70.78,7.02,64.94,8,2,6,2,review,VLID62S,""
VEG-HCX-NT,"Vegware Stevia Natural Sweetener Sticks, Wrap",VSTEV-case-,"Vegware Stevia Natural Sweetener Sticks, Compostable Wrap (Case of 1000)",,35.54,32.61,32.61,8,5,3,4,review,"",""
VEG-CTL-SP-115,Vegware Paper Teaspoon - 115mm,VP-SP4.5,Vegware 4.5in / 115mm Paper Teaspoon Compostable (Case of 1000),,22.13,20.3,20.3,8,5,3,5,review,"",""
VEG-CTL-SP,Vegware Tutti Frutti Ice Cream Spoon,VP-SP3.5C,Vegware Compostable Tutti Frutti Ice Cream Spoon (CASE OF 2000),,50.3,46.15,46.15,8,5,3,2,review,VP-SP3.5,DUP
VEG-BGP-CS-3,Vegware Bagasse Clamshell - 6in,B003,Vegware 6in Bagasse Burger Box Recyclable Compostable,,49.4,13.25,55.76,8,5,3,1,review,MFT-6X6,DUP
VEG-PLT-3,Vegware Platter Box Quarter Insert,VWQUARTIN-,Vegware Platter Box Quarter Insert Compostable (Case of 50),,21.47,19.7,19.7,7,4,3,3,review,"",""
VEG-LID-6,Vegware CPLA 62-Series Hot Cup Lid - 65 x 15mm,VLID62S,Vegware 62-Series CPLA Hot Cup Lid Compostable,6.95,68.04,6.38,62.42,7,1,6,1,review,VLID90P,DUP
VEG-DEL-HG-16,Vegware PLA Hinged Lid Deli Container - 123 x 142 x 65mm,VWST65-,Vegware Standard 65mm Kraft Sandwich Wedge Compostable (Case of 500),33.22,79.56,69.17,69.17,7,4,3,3,review,"",DUP
VEG-LID-2,Vegware Paper 79-Series Takeaway Hot Cup Lid - 16mm,VLID79P,Vegware 79-Series Paper Takeaway Hot Cup Lid Compostable,8.93,61.16,8.19,56.11,7,1,6,1,review,VLID89P,""
VEG-LID,Vegware Paper 89-Series Takeaway Hot Cup Lid - 89 x 10mm,PS10-GS,"Vegware Jumbissimo Green Stripe 10mm Paper Straw, 7.8in Recyclable/Compostable",,64.06,6.12,53.67,7,4,3,3,review,"",DUP
VEG-CC-PN-3,Vegware Paper Pint-to-Brim Cup 89-Series - 57 x 90 x 160mm,PINTP1,Vegware Pint-to-Brim Paper Cup – UKCA Marked 89-Series,,134.42,123.32,123.32,7,4,3,1,review,PINT1,DUP
VEG-BOX-22,Vegware Medium Window Salad Box,01VWPASTA-case-,Vegware 22oz Medium Window Salad Box Compostable (Case of 300),,91.0,83.49,83.49,7,4,3,2,review,MFWB-6X5,""
