sku,description_short,description_standard,description_detailed
12RPTDL,"Dome lids for 12oz smoothie cups. Clear rPET with extra headroom for whipped cream and toppings.","Clear rPET dome lids for 12oz smoothie cups. The raised dome provides extra headroom for whipped cream, fruit toppings, and generous garnishes. Secure snap-fit prevents spills. Fully recyclable. Pack of 1000.","These dome lids are designed for 12oz cold drinks with toppings. The raised dome shape provides extra headroom for whipped cream, fruit garnishes, and generous toppings on smoothies, milkshakes, and frappuccinos. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. Perfect for indulgent drinks where presentation matters. Compatible with our 12oz clear smoothie cups. Ideal for smoothie bars, bubble tea stores, and cafes serving premium cold drinks with toppings. Pack of 1000 lids."
20RPTDL,"Dome lids for 16-20oz smoothie cups. Clear rPET with extra headroom for whipped cream and toppings.","Clear rPET dome lids for 16oz-20oz smoothie cups. The raised dome provides extra headroom for whipped cream, fruit toppings, and generous garnishes. Secure snap-fit prevents spills. Fully recyclable. Pack of 1000.","These dome lids are designed for large 16-20oz cold drinks with toppings. The raised dome shape provides extra headroom for whipped cream, fruit garnishes, and generous toppings on large smoothies, milkshakes, and frappuccinos. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. Perfect for indulgent drinks where presentation matters. Compatible with our 16oz clear smoothie cups. Ideal for smoothie bars, bubble tea stores, and cafes serving premium cold drinks with toppings. Pack of 1000 lids."
9RPTDL,"Dome lids for 9oz smoothie cups. Clear rPET with extra headroom for whipped cream and toppings.","Clear rPET dome lids for 9oz smoothie cups. The raised dome provides extra headroom for whipped cream, fruit toppings, and garnishes on smaller drinks. Secure snap-fit prevents spills. Fully recyclable. Pack of 2000.","These dome lids are designed for 9oz cold drinks with toppings. The raised dome shape provides extra headroom for whipped cream, fruit garnishes, and toppings on small smoothies, kids milkshakes, and juice drinks. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. Perfect for smaller indulgent drinks where presentation still matters. Compatible with our 9oz clear smoothie cups. Ideal for juice bars, kids drink menus, and cafes serving smaller cold drinks with toppings. Pack of 2000 lids."
12RPTFL,"Flat lids for 12oz smoothie cups. Clear rPET with straw slot - sleek low-profile for everyday drinks.","Clear rPET flat lids for 12oz smoothie cups. Sleek low-profile design with straw slot for standard smoothies and iced drinks. Secure snap-fit prevents spills during transport. Fully recyclable. Pack of 1000.","These flat lids provide sleek closure for 12oz cold drinks. The low-profile design with straw slot suits standard smoothies, iced coffees, and juices without toppings. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. The practical straw slot accommodates standard drinking straws. Perfect for everyday cold drink service. Compatible with our 12oz clear smoothie cups. Ideal for juice bars, smoothie shops, and cafes serving cold drinks for delivery and takeaway. Pack of 1000 lids."
20RPTFL,"Flat lids for 16-20oz smoothie cups. Clear rPET with straw slot - sleek low-profile for large drinks.","Clear rPET flat lids for 16oz-20oz smoothie cups. Sleek low-profile design with straw slot for large smoothies and iced drinks. Secure snap-fit prevents spills during transport. Fully recyclable. Pack of 1000.","These flat lids provide sleek closure for large 16-20oz cold drinks. The low-profile design with straw slot suits large smoothies, iced coffees, and juices without toppings. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. The practical straw slot accommodates standard and jumbo drinking straws. Perfect for everyday large cold drink service. Compatible with our 16oz clear smoothie cups. Ideal for juice bars, smoothie shops, and delivery operations. Pack of 1000 lids."
9RPTFL,"Flat lids for 9oz smoothie cups. Clear rPET with straw slot - sleek low-profile for small drinks.","Clear rPET flat lids for 9oz smoothie cups. Sleek low-profile design with straw slot for small smoothies and juices. Secure snap-fit prevents spills during transport. Fully recyclable. Pack of 2000.","These flat lids provide sleek closure for 9oz cold drinks. The low-profile design with straw slot suits small smoothies, fresh juices, and kids drinks without toppings. Made from crystal clear rPET plastic for full drink visibility while remaining fully recyclable. The secure snap-fit closure grips cup rims firmly to prevent spills during transport. The practical straw slot accommodates standard drinking straws. Perfect for everyday small cold drink service. Compatible with our 9oz clear smoothie cups. Ideal for juice bars, healthy eating outlets, and kids drink menus. Pack of 2000 lids."
10PICCB,"10oz blue ice cream cups. Large paper cups for sundaes and generous gelato portions with vibrant design.","10oz blue paper ice cream cups for generous dessert servings. Vibrant blue design creates eye-catching presentation. Insulated construction keeps frozen treats at optimal temperature. Perfect for sundaes and large portions. Pack of 500.","These 10oz ice cream cups are built for generous dessert servings with standout presentation. The vibrant blue design creates eye-catching appeal that customers love, while the insulated paper construction keeps ice cream, gelato, and frozen yogurt at optimal serving temperature without condensation. The large 10oz size accommodates sundaes, banana splits, and generous multi-scoop portions. Perfect for ice cream parlours, gelaterias, dessert shops, and event catering. No additional branding needed - the colourful design speaks for itself. Sturdy construction prevents leaks and maintains shape throughout service. Pack of 500 cups for busy dessert operations."
4PICC,"4oz multi-colour ice cream cups. Compact paper cups for tasters and kids portions with fun vibrant design.","4oz multi-colour paper ice cream cups for taster portions and kids servings. Fun vibrant design appeals to younger customers. Insulated construction keeps frozen treats cold. Perfect for sampling and small treats. Pack of 500.","These 4oz ice cream cups are perfect for taster portions and kids servings. The fun multi-colour design appeals to younger customers and creates playful presentation. The insulated paper construction keeps ice cream, gelato, and frozen yogurt at optimal serving temperature without condensation on the outside. The compact 4oz size is ideal for single scoops, taster portions at food festivals, and kids menus at family venues. Perfect for ice cream parlours, soft play centres, and event catering. The colourful exterior creates instant appeal without additional branding. Sturdy construction maintains shape throughout service. Pack of 500 cups."
5PICCO,"5oz orange ice cream cups. Single scoop paper cups for standard gelato portions with vibrant design.","5oz orange paper ice cream cups for single scoop servings. Vibrant orange design creates warm, appetising presentation. Insulated construction keeps frozen treats at optimal temperature. Perfect for standard portions. Pack of 500.","These 5oz ice cream cups are ideal for standard single scoop servings. The vibrant orange design creates warm, appetising presentation that draws customers to your dessert counter. The insulated paper construction keeps ice cream, gelato, and frozen yogurt at optimal serving temperature without condensation. The 5oz size accommodates single scoops and standard gelato portions perfectly. Great for gelaterias, ice cream parlours, and dessert shops serving quality portions. The eye-catching orange colour stands out in any setting without additional branding. Sturdy construction prevents leaks and maintains shape throughout service. Pack of 500 cups."
6PICC,"6oz multi-colour ice cream cups. Standard size paper cups for regular ice cream portions with fun design.","6oz multi-colour paper ice cream cups for standard dessert servings. Fun vibrant design appeals to all ages. Insulated construction keeps frozen treats at optimal temperature. Versatile size suits most servings. Pack of 500.","These 6oz ice cream cups offer versatile sizing for standard dessert servings. The fun multi-colour design creates appealing presentation for customers of all ages. The insulated paper construction keeps ice cream, gelato, and frozen yogurt at optimal serving temperature without condensation. The 6oz size accommodates standard single or small double scoops, making it the versatile choice for most ice cream operations. Perfect for ice cream parlours, frozen yogurt bars, dessert shops, and event catering. The colourful exterior creates instant visual appeal without additional branding costs. Sturdy construction maintains shape throughout service. Pack of 500 cups."
8PICC,"8oz multi-colour ice cream cups. Double scoop paper cups for generous ice cream portions with vibrant design.","8oz multi-colour paper ice cream cups for generous double scoop servings. Fun vibrant design creates standout presentation. Insulated construction keeps frozen treats at optimal temperature. Great for indulgent portions. Pack of 500.","These 8oz ice cream cups are perfect for generous double scoop servings. The fun multi-colour design creates standout presentation that customers love, while the insulated paper construction keeps ice cream, gelato, and frozen yogurt at optimal serving temperature. The 8oz size accommodates double scoops, sharing portions, and indulgent servings with room for toppings. Perfect for ice cream parlours, dessert cafes, and venues offering premium portions. The colourful exterior draws attention and creates instant appeal without additional branding. Sturdy construction prevents leaks and handles toppings confidently. Pack of 500 cups for busy dessert operations."
33-1-NAP,"33cm white 1-ply dispenser napkins. Economy choice for high-traffic cafes and quick-service restaurants.","33 x 33cm white 1-ply paper dispenser napkins for high-volume catering. Economy choice perfect for quick-service restaurants, cafes, and canteens. Compact fold fits standard napkin dispensers. Pack of 5000.","These 1-ply dispenser napkins deliver practical value for high-traffic venues. The 33 x 33cm size provides adequate coverage while the single ply construction offers economy for operations where volume matters most. The compact fold fits standard napkin dispensers for easy customer access. White colour provides clean, professional appearance suitable for any setting. Perfect for quick-service restaurants, workplace canteens, cafes, and takeaway counters where napkins are used freely. The large pack of 5000 napkins keeps busy venues stocked for extended periods. Made from paper that can be composted after use. Ideal where economy and practicality take priority."
4FDINBL,"40cm black 2-ply dinner napkins. 4-fold premium paper napkins for elegant restaurant and event service.","40 x 40cm black 2-ply dinner napkins with 4-fold presentation. Premium paper quality for restaurants and events. The elegant black colour creates sophisticated table settings. Absorbent 2-ply construction. Pack of 2000.","These 2-ply dinner napkins bring elegant presentation to restaurant and event service. The 40 x 40cm size provides generous coverage, while the 4-fold design creates a refined table setting. The sophisticated black colour suits upscale restaurants, cocktail events, and formal occasions where presentation matters. The 2-ply construction provides excellent absorbency while maintaining softness. Perfect for fine dining restaurants, catering companies, wedding receptions, and corporate events. Black napkins hide stains effectively and create dramatic contrast against white tablecloths. Made from quality paper stock. Pack of 2000 napkins for professional catering operations."
4FDINWH,"40cm white 2-ply dinner napkins. 4-fold classic paper napkins for restaurant and event service.","40 x 40cm white 2-ply dinner napkins with 4-fold presentation. Classic white paper quality for restaurants and events. The crisp white colour suits any table setting. Absorbent 2-ply construction. Pack of 2000.","These 2-ply dinner napkins provide classic elegance for restaurant and event service. The 40 x 40cm size offers generous coverage, while the 4-fold design creates a refined table setting. The crisp white colour suits any decor and complements all table settings from casual to formal. The 2-ply construction provides excellent absorbency while maintaining softness. Perfect for restaurants, hotels, catering companies, wedding receptions, and corporate dining. White napkins offer versatile presentation for any occasion. Made from quality paper stock. Pack of 2000 napkins for professional catering operations requiring reliable quality."
8FDINBL,"40cm black 3-ply dinner napkins. 8-fold premium thickness for fine dining and special events.","40 x 40cm black 3-ply dinner napkins with 8-fold presentation. Premium thickness for fine dining and upscale events. The elegant black colour and superior quality create luxury table settings. Pack of 2000.","These 3-ply dinner napkins deliver premium quality for fine dining and special events. The 40 x 40cm size provides generous coverage, while the 8-fold design creates an elegant presentation. The sophisticated black colour suits upscale restaurants, gala dinners, and formal occasions. The 3-ply construction provides superior thickness and absorbency - noticeably more luxurious than standard napkins. Perfect for Michelin-starred restaurants, luxury hotels, wedding venues, and high-end corporate events. Black napkins create dramatic presentation and hide stains elegantly. The premium weight signals quality to discerning guests. Pack of 2000 napkins for establishments where excellence matters."
8FDINWH,"40cm white 3-ply dinner napkins. 8-fold premium thickness for fine dining and special events.","40 x 40cm white 3-ply dinner napkins with 8-fold presentation. Premium thickness for fine dining and upscale events. The crisp white colour and superior quality create elegant table settings. Pack of 2000.","These 3-ply dinner napkins deliver premium quality for fine dining and special events. The 40 x 40cm size provides generous coverage, while the 8-fold design creates an elegant presentation. The crisp white colour suits any upscale setting from fine dining restaurants to wedding receptions. The 3-ply construction provides superior thickness and absorbency - noticeably more luxurious than standard napkins. Perfect for quality restaurants, luxury hotels, wedding venues, and high-end corporate events. White napkins complement any table setting with classic elegance. The premium weight signals quality to discerning guests. Pack of 2000 napkins for establishments where excellence matters."
8FAIRWH,"40cm white airlaid dinner napkins. Linen-feel premium quality for upscale dining and special occasions.","40 x 40cm white airlaid dinner napkins with luxurious linen-feel texture. Premium quality that mimics cloth napkins at a fraction of the cost. Perfect for fine dining and special events. Pack of 500.","These airlaid dinner napkins deliver the closest experience to cloth napkins in a disposable format. The 40 x 40cm size provides generous coverage, while the luxurious airlaid construction creates a soft, cloth-like texture that impresses guests. The elegant white colour suits any upscale setting. Unlike standard paper napkins, airlaid material has a unique three-dimensional structure that provides exceptional absorbency and strength while feeling genuinely premium. Perfect for fine dining restaurants, luxury hotels, wedding receptions, and corporate galas. Eliminates laundering costs while maintaining upscale presentation. Pack of 500 napkins for quality-focused establishments."
8FAIRBL,"40cm black airlaid dinner napkins. Linen-feel premium quality for upscale dining and special occasions.","40 x 40cm black airlaid dinner napkins with luxurious linen-feel texture. Premium quality that mimics cloth napkins at a fraction of the cost. Sophisticated black for fine dining and events. Pack of 500.","These airlaid dinner napkins deliver the closest experience to cloth napkins in a disposable format. The 40 x 40cm size provides generous coverage, while the luxurious airlaid construction creates a soft, cloth-like texture that impresses guests. The sophisticated black colour creates dramatic, elegant presentation. Unlike standard paper napkins, airlaid material has a unique three-dimensional structure that provides exceptional absorbency and strength while feeling genuinely premium. Perfect for fine dining restaurants, cocktail events, and formal occasions. Black colour hides stains while creating visual impact. Eliminates laundering costs while maintaining upscale presentation. Pack of 500 napkins."
AIRCNWH,"23cm white airlaid cocktail napkins. Premium linen-feel quality for bars, events, and upscale service.","23 x 23cm white premium airlaid cocktail napkins with luxurious linen-feel texture. Compact size perfect for drinks service at bars and events. Superior quality compared to standard paper napkins. Pack of 2400.","These premium airlaid cocktail napkins bring luxury to drinks service. The 23 x 23cm size is perfect for placing under glasses and accompanying drinks at bars and events. The airlaid construction creates a soft, cloth-like texture that sets them apart from standard paper napkins. White colour provides clean, versatile presentation for any venue. The exceptional absorbency handles condensation from cold drinks and coffee spills effectively. Perfect for cocktail bars, hotel lounges, corporate events, and upscale cafes. Creates an impression of quality without the cost of cloth. Pack of 2400 napkins for high-volume drinks service operations."
PCNWH,"24cm white paper cocktail napkins. Classic 2-ply napkins for bars, cafes, and everyday drinks service.","24 x 24cm white 2-ply paper cocktail napkins for drinks service. Classic choice for bars, cafes, and events. Absorbent 2-ply construction handles spills effectively. Clean white finish suits any setting. Pack of 2000.","These paper cocktail napkins provide reliable quality for everyday drinks service. The 24 x 24cm size suits placing under glasses, wrapping around cups, and general bar service. The 2-ply construction provides good absorbency for handling condensation and small spills. Clean white colour creates professional presentation at any venue. Perfect for bars, cafes, restaurants, and event catering where practical napkins are needed at value pricing. Works well in napkin holders and dispensers. Made from quality paper stock. Pack of 2000 napkins for high-volume bars and cafes."
PCNBL,"24cm black paper cocktail napkins. Stylish 2-ply napkins for bars, events, and sophisticated service.","24 x 24cm black 2-ply paper cocktail napkins for drinks service. Stylish black colour suits cocktail bars and events. Absorbent 2-ply construction handles spills effectively. Sophisticated presentation. Pack of 2000.","These paper cocktail napkins bring style to everyday drinks service. The 24 x 24cm size suits placing under glasses, wrapping around cups, and general bar service. The 2-ply construction provides good absorbency for handling condensation and small spills. The sophisticated black colour creates upscale presentation at cocktail bars, nightclubs, and events while effectively hiding stains. Perfect for venues where style matters alongside practicality. Works well in napkin holders and dispensers for self-service. Made from quality paper stock. Pack of 2000 napkins for high-volume cocktail bars and event catering."
BB-BOX-NAP,"25cm bamboo pulp cocktail napkins. Sustainable unbleached napkins for eco-conscious venues and events.","25 x 25cm bamboo pulp cocktail napkins made from sustainable materials. The natural unbleached appearance signals eco-friendly values. Excellent absorbency from bamboo fibre construction. Perfect for sustainable venues. Pack of 2400.","These bamboo pulp cocktail napkins offer the sustainable choice for drinks service. Made from bamboo - one of the fastest-growing renewable resources - they deliver genuine eco credentials. The 25 x 25cm size suits bar service and drinks accompaniment. The natural unbleached colour creates an earthy, authentic appearance that appeals to environmentally conscious customers. Bamboo fibre provides excellent absorbency, handling condensation and spills effectively. Perfect for eco-conscious cafes, vegan restaurants, organic wine bars, and events prioritising sustainability. The visible eco credentials help venues communicate their environmental values. Compostable after use. Pack of 2400 napkins."
APIN-8-W,"40cm white pocket napkins with cutlery sleeve. Elegant paper napkins for restaurant table settings.","40 x 40cm white pocket napkins with integrated cutlery sleeve for elegant table presentation. Pre-fold design holds knife and fork neatly. Premium paper quality for restaurants and events. Pack of 500.","These pocket napkins streamline elegant table service. The 40 x 40cm size provides generous coverage, while the integrated cutlery pocket holds knife and fork in place for neat presentation. The pre-folded design saves staff time during table setup - simply insert cutlery and place. Clean white colour suits any restaurant decor or event theme. Premium paper quality provides good absorbency and a soft feel. Perfect for restaurants, wedding receptions, corporate dining, and catered events where efficient elegant presentation matters. The pocket detail adds visual interest while keeping cutlery organised. Pack of 500 napkins for professional dining operations."
12PIZBKR,"12 inch kraft pizza boxes. Medium size corrugated cardboard for standard pizzas - recyclable and sturdy.","12 inch (310 x 310mm) kraft pizza boxes made from corrugated cardboard. The most popular medium pizza size in the UK. Sturdy construction keeps pizzas hot and protected during delivery. Recyclable. Pack of 100.","These 12 inch pizza boxes are built for the UK's most popular pizza size. The corrugated cardboard construction provides excellent insulation and protection, keeping pizzas hot and intact during delivery and collection. Ventilation prevents sogginess without losing heat. The natural kraft finish creates an artisan, eco-friendly appearance that works perfectly with stamps, stickers, or printed sleeves for custom branding. The 310 x 310mm internal size fits standard 12 inch medium pizzas with space for easy removal. Stackable design ensures efficient storage and fast service during busy periods. Recyclable when not heavily soiled with grease. Pack of 100 boxes."
16PIZBKR,"16 inch kraft pizza boxes. Large size corrugated cardboard for family pizzas - recyclable and sturdy.","16 inch (406 x 406mm) kraft pizza boxes made from corrugated cardboard. Large family size for sharing pizzas. Extra sturdy construction keeps pizzas hot and protected during delivery. Recyclable. Pack of 50.","These 16 inch pizza boxes accommodate large family-size pizzas. The extra sturdy corrugated cardboard construction provides excellent insulation and protection, keeping large pizzas hot and intact during delivery. Ventilation prevents sogginess without losing heat. The natural kraft finish creates an artisan, eco-friendly appearance that works perfectly with stamps, stickers, or printed sleeves for custom branding. The 406 x 406mm internal size fits large 16 inch pizzas with space for easy removal. Stackable design ensures efficient storage. Recyclable when not heavily soiled with grease. Pack of 50 boxes for pizzerias serving large family portions."
7PIZBKR,"7 inch kraft pizza boxes. Personal size corrugated cardboard for individual pizzas - recyclable and sturdy.","7 inch (195 x 195mm) kraft pizza boxes made from corrugated cardboard. Personal pizza size perfect for individual portions and kids meals. Sturdy construction for delivery and collection. Recyclable. Pack of 100.","These 7 inch pizza boxes are designed for personal-size pizzas. The corrugated cardboard construction provides excellent insulation and protection, keeping individual pizzas hot and intact during delivery. Ventilation prevents sogginess without losing heat. The natural kraft finish creates an artisan, eco-friendly appearance that works perfectly with stamps, stickers, or printed sleeves for custom branding. The 195 x 195mm internal size fits personal 7 inch pizzas including kids portions and lunch-size options. Perfect for pizzerias offering individual serving sizes, food trucks, and quick-service lunch menus. Stackable design for efficient storage. Recyclable when clean. Pack of 100 boxes."
9PIZBKR,"9 inch kraft pizza boxes. Small size corrugated cardboard for personal pizzas - recyclable and sturdy.","9 inch (240 x 240mm) kraft pizza boxes made from corrugated cardboard. Small pizza size for individual portions. Sturdy construction keeps pizzas hot and protected during delivery. Recyclable. Pack of 100.","These 9 inch pizza boxes are built for small individual pizzas. The corrugated cardboard construction provides excellent insulation and protection, keeping pizzas hot and intact during delivery and collection. Ventilation prevents sogginess without losing heat. The natural kraft finish creates an artisan, eco-friendly appearance that works perfectly with stamps, stickers, or printed sleeves for custom branding. The 240 x 240mm internal size fits small 9 inch pizzas popular for personal portions. Perfect for pizzerias, food courts, and quick-service operations offering individual servings. Stackable design ensures efficient storage. Recyclable when not heavily soiled with grease. Pack of 100 boxes."
BB-PULP-10M,"10mm jumbo bamboo pulp straws. Extra wide for milkshakes and thick smoothies - compostable and sturdy.","10 x 200mm jumbo bamboo pulp straws for thick drinks. Extra wide 10mm diameter handles milkshakes, bubble tea, and thick smoothies. Made from bamboo - stronger than paper straws. Fully compostable. Pack of 3600.","These jumbo straws are built for thick beverages that regular straws can't handle. The extra wide 10mm diameter easily handles milkshakes, bubble tea with tapioca pearls, thick smoothies, and icy blended drinks. Made from bamboo pulp - the natural fibres provide superior rigidity compared to paper straws, staying firm throughout use without becoming soggy. The 200mm length works with tall glasses and large cups. 100% compostable and breaks down naturally without leaving microplastics. Perfect for milkshake bars, bubble tea shops, smoothie venues, and any business serving thick blended drinks. Pack of 3600 straws for high-volume operations."
BB-PULP-15,"6mm short bamboo pulp straws. Cocktail size compostable straws for cold drinks and mixed drinks.","6 x 150mm bamboo pulp cocktail straws for smaller drinks. Compact 150mm length perfect for cocktails, soft drinks, and juice glasses. Made from bamboo - compostable and stronger than paper. Pack of 5000.","These short straws are designed for cocktails and smaller drink glasses. The compact 150mm length suits cocktail glasses, juice tumblers, and children's drinks perfectly. Made from bamboo pulp - the natural fibres provide superior rigidity compared to paper straws, staying firm throughout use without becoming soggy. The 6mm diameter handles standard cold drinks effectively. 100% compostable and breaks down naturally without leaving microplastics. Perfect for cocktail bars, juice counters, cafes, and family restaurants serving kids drinks. The natural bamboo appearance signals eco-friendly values to customers. Pack of 5000 straws for high-volume bars and restaurants."
BB-FBRN-15,"6mm natural bio fibre straws. Short cocktail straws - compostable with smooth finish.","6 x 150mm natural bio fibre cocktail straws with smooth finish. Compact 150mm length for cocktails and small drinks. Compostable material stronger than paper straws. Natural colour. Pack of 2500.","These bio fibre cocktail straws combine sustainability with smooth drinking experience. The compact 150mm length suits cocktail glasses, juice tumblers, and smaller drinks. Made from bio fibre - a plant-based material that provides excellent rigidity without the texture of paper straws. The smooth surface feels comfortable during use while the natural colour signals eco credentials. 100% compostable and breaks down naturally. The 6mm diameter handles standard cold drinks effectively. Perfect for cocktail bars, wine bars, and upscale cafes where smooth drinking experience matters alongside sustainability. Pack of 2500 straws."
WPS15,"6mm white paper straws. Short cocktail straws - biodegradable and FSC-certified for eco-friendly service.","6 x 150mm white paper cocktail straws for smaller drinks. Classic white colour suits any setting. FSC-certified paper, fully biodegradable. Compact length perfect for cocktails and juice glasses. Pack of 5000.","These white paper straws are the classic eco-friendly choice for smaller drinks. The compact 150mm length suits cocktail glasses, juice tumblers, and children's drinks. Made from FSC-certified paper with a food-safe coating, they stay firm for everyday use while remaining fully biodegradable. The clean white colour provides professional presentation that suits any venue style. The 6mm diameter handles standard cold drinks effectively. Perfect for bars, restaurants, cafes, and event catering where affordable sustainability matters. Widely accepted by customers familiar with paper straws as the plastic alternative. Pack of 5000 straws for high-volume operations."
BB-FBRBL-15,"6mm black bio fibre straws. Short cocktail straws - compostable with smooth stylish finish.","6 x 150mm black bio fibre cocktail straws with smooth finish. Compact 150mm length for cocktails and small drinks. Compostable material stronger than paper straws. Sophisticated black colour. Pack of 2500.","These black bio fibre cocktail straws combine style with sustainability. The compact 150mm length suits cocktail glasses, juice tumblers, and smaller drinks. Made from bio fibre - a plant-based material that provides excellent rigidity without the texture of paper straws. The smooth surface feels comfortable during use while the sophisticated black colour creates upscale presentation. 100% compostable and breaks down naturally. The 6mm diameter handles standard cold drinks effectively. Perfect for cocktail bars, nightclubs, and premium venues where style matters alongside eco credentials. Pack of 2500 straws."
BPS15,"6mm black paper straws. Short cocktail straws - biodegradable and FSC-certified with sophisticated finish.","6 x 150mm black paper cocktail straws for smaller drinks. Sophisticated black colour suits upscale bars and events. FSC-certified paper, fully biodegradable. Compact length for cocktails. Pack of 5000.","These black paper straws add sophistication to eco-friendly drinks service. The compact 150mm length suits cocktail glasses, juice tumblers, and smaller drinks at bars and events. Made from FSC-certified paper with a food-safe coating, they stay firm for everyday use while remaining fully biodegradable. The sophisticated black colour creates premium presentation for cocktail bars, nightclubs, and upscale events while effectively hiding marks. The 6mm diameter handles standard cold drinks effectively. Perfect for venues where style and sustainability both matter. Pack of 5000 straws for high-volume cocktail service."
